Jenis Kelamin,Umur ,Pekerjaan,X1_1,X1_2,X1_3,X2_1,X2_2,X2_3,X2_4,X3_1,X3_2,X3_3,X4_1,X4_2,X4_3,Y1_1,Y1_2,Y1_3,Y1_4
Perempuan,> 30,Pegawai Pemerintah,5,3,4,4,4,5,3,4,4,4,5,5,5,4,4,4,4
Perempuan,> 30,Pengusaha,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Perempuan,> 30,Pegawai Pemerintah,3,4,4,4,4,4,4,3,3,4,3,3,3,4,4,3,3
Perempuan,> 30,Pengusaha,4,2,5,4,5,4,4,4,4,4,5,5,5,5,5,5,5
Perempuan,26 - 30,Pegawai Pemerintah,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5
Perempuan,> 30,Lainnya,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Laki - Laki,26 - 30,Pengusaha,4,3,4,3,3,3,3,3,3,3,4,2,3,3,3,3,3
Perempuan,> 30,Lainnya,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,4,4
Perempuan,> 30,Pegawai Pemerintah,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Perempuan,21 - 25,Pelajar / Mahasiswa,5,5,5,4,5,5,5,5,5,5,4,5,5,5,5,5,5
Laki - Laki,26 - 30,Pegawai Swasta,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Perempuan,26 - 30,Lainnya,4,3,4,5,4,5,4,3,3,5,4,5,4,5,4,5,4
Perempuan,> 30,Pegawai Pemerintah,4,5,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
Perempuan,> 30,Pegawai Pemerintah,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laki - Laki,> 30,Pegawai Pemerintah,4,3,4,4,5,5,4,5,5,5,4,4,4,5,5,5,5
Perempuan,> 30,Pegawai Swasta,3,2,2,2,2,3,3,4,4,3,3,3,3,4,4,2,3
Perempuan,15 - 20,Pelajar / Mahasiswa,4,3,5,4,4,4,4,5,5,5,3,3,4,4,4,4,3
Perempuan,15 - 20,Pelajar / Mahasiswa,4,2,3,4,3,4,3,4,3,3,2,3,3,3,3,3,3
Perempuan,> 30,Pegawai Pemerintah,5,5,4,5,4,4,4,5,5,5,5,4,5,5,5,5,5
Perempuan,> 30,Pegawai Pemerintah,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Perempuan,21 - 25,Pelajar / Mahasiswa,3,3,3,3,3,3,3,2,2,1,1,2,2,1,1,1,2
Perempuan,> 30,Pegawai Pemerintah,5,3,5,5,3,5,5,5,5,3,3,5,3,3,3,3,4
Laki - Laki,> 30,Pegawai Pemerintah,4,3,3,2,3,3,2,2,2,2,2,2,2,3,2,2,3
Perempuan,> 30,Pegawai Pemerintah,5,5,4,5,5,5,4,5,5,5,5,5,4,4,4,5,5
Perempuan,21 - 25,Pegawai Pemerintah,4,3,3,4,4,5,4,4,4,4,4,4,3,4,4,5,4
Perempuan,> 30,Pegawai Pemerintah,4,4,5,4,4,5,5,5,5,5,5,5,5,4,4,4,4
Perempuan,> 30,Pegawai Pemerintah,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Perempuan,21 - 25,Pelajar / Mahasiswa,4,5,5,4,5,3,4,5,5,5,5,5,5,5,5,3,5
Laki - Laki,> 30,Pegawai Swasta,4,3,4,3,4,4,4,4,3,4,4,3,3,4,3,4,4
Perempuan,> 30,Pegawai Pemerintah,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laki - Laki,21 - 25,Pengusaha,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Perempuan,> 30,Pegawai Pemerintah,4,3,3,4,4,3,4,4,4,4,5,5,5,4,5,5,5
Laki - Laki,> 30,Pegawai Swasta,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,5
Perempuan,> 30,Pegawai Pemerintah,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Laki - Laki,26 - 30,Pegawai Swasta,5,5,5,5,5,5,5,5,4,5,4,5,5,5,4,5,5
Perempuan,> 30,Pegawai Pemerintah,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Perempuan,15 - 20,Pelajar / Mahasiswa,5,4,5,4,4,4,3,5,4,5,3,3,3,4,4,4,3
Perempuan,> 30,Pegawai Pemerintah,4,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Laki - Laki,15 - 20,Pegawai Pemerintah,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laki - Laki,21 - 25,Pelajar / Mahasiswa,4,4,4,4,4,5,4,5,4,4,4,5,4,5,5,4,4
Perempuan,> 30,Pegawai Swasta,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3,3
Perempuan,> 30,Pegawai Swasta,4,3,3,3,3,4,4,3,3,3,3,4,4,4,4,4,4
Perempuan,26 - 30,Pegawai Pemerintah,4,4,2,3,3,3,3,5,3,4,4,4,4,4,4,4,4
Laki - Laki,> 30,Pengusaha,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Perempuan,21 - 25,Pelajar / Mahasiswa,4,4,4,4,4,5,3,5,4,5,4,4,4,4,4,5,4
Laki - Laki,21 - 25,Pelajar / Mahasiswa,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5
Laki - Laki,21 - 25,Pelajar / Mahasiswa,5,3,3,3,5,4,5,5,5,5,5,5,5,5,5,5,5
Perempuan,> 30,Pegawai Pemerintah,4,4,4,4,4,4,4,4,4,4,4,5,3,4,4,4,4
Perempuan,> 30,Pegawai Pemerintah,4,5,5,5,5,5,5,4,4,5,4,5,5,5,5,5,5
Perempuan,21 - 25,Pelajar / Mahasiswa,4,4,4,4,5,5,4,3,4,4,4,3,4,3,4,4,4
Laki - Laki,21 - 25,Pelajar / Mahasiswa,4,4,5,5,4,4,5,5,4,5,4,3,4,5,4,4,4
Perempuan,21 - 25,Pelajar / Mahasiswa,4,4,4,3,5,4,3,5,4,5,3,5,5,5,5,5,5
Perempuan,21 - 25,Pelajar / Mahasiswa,4,5,5,4,4,5,5,5,4,5,4,4,3,4,4,4,4
Perempuan,21 - 25,Pelajar / Mahasiswa,3,4,4,4,5,2,4,4,3,5,4,4,3,2,5,5,4
Perempuan,21 - 25,Pelajar / Mahasiswa,3,4,3,4,4,3,4,4,4,4,3,3,3,4,4,4,4
Laki - Laki,> 30,Pegawai Pemerintah,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
Laki - Laki,21 - 25,Pelajar / Mahasiswa,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Laki - Laki,> 30,Pegawai Pemerintah,5,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
Perempuan,> 30,Pegawai Pemerintah,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5
Perempuan,> 30,Lainnya,4,4,3,3,3,4,3,3,4,3,3,3,4,4,4,4,4
Perempuan,> 30,Pegawai Pemerintah,5,3,3,4,4,5,3,3,3,3,4,3,4,5,5,5,4
Perempuan,21 - 25,Pelajar / Mahasiswa,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5
Perempuan,> 30,Pegawai Pemerintah,5,4,4,5,5,4,5,5,5,5,5,5,5,5,5,5,5
Perempuan,> 30,Pegawai Pemerintah,4,3,4,4,4,4,4,5,5,4,4,4,4,4,4,4,5
Perempuan,> 30,Pegawai Pemerintah,4,3,4,4,4,4,5,4,4,4,4,4,4,4,5,4,4
Laki - Laki,21 - 25,Pelajar / Mahasiswa,4,3,5,3,4,4,3,5,3,5,2,2,1,4,5,4,2
Perempuan,> 30,Pegawai Pemerintah,4,3,4,3,3,3,3,3,3,4,3,4,3,3,3,3,3
Perempuan,26 - 30,Lainnya,4,2,5,5,5,5,5,5,3,5,3,3,3,5,5,5,3
Laki - Laki,> 30,Pegawai Pemerintah,3,3,3,4,4,4,4,5,4,4,5,5,5,5,5,4,4
Perempuan,21 - 25,Pelajar / Mahasiswa,3,2,3,3,3,3,3,4,4,4,3,3,3,4,4,4,4
Perempuan,21 - 25,Lainnya,4,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
Perempuan,21 - 25,Lainnya,4,4,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4
Perempuan,21 - 25,Pelajar / Mahasiswa,3,3,5,5,4,4,4,5,5,5,4,4,4,4,4,5,4

